survey_location,session,birth_year,home_location,sex,caretaker,visit_frequency,relative_type,relative_curr_home_lang,relative_past_home_lang,relative_work_lang,relative_neighbor_lang,relative_partner_lang,relative_family_lang,relative_ethnicity,relative_education,relative_past_home,relative_curr_home,relative_profession,relative_religion,relative_birth_year,relative_first_lang,relative_other_langs
,,,,,,,Bapak dari bapak,,Jawa,"Indonesia, Jawa",,Jawa Alus,"Indonesia, Jawa",Jawa,Pendidikan Kepolisian,Jawa Tengah - Kota Surakarta,Jawa Tengah - Kota Surakarta,Polisi,Kristen (Protestan),,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UDINUS-Oktober-2014,JTQSEF,1987,Jawa Tengah - Kota Semarang,Perempuan,Orangtua,lebih dari 24,Ibu,"Jawa, Indonesia",Jawa,,Jawa,Jawa,"Jawa, Indonesia",Jawa,SMA,#NAME?,Jawa Tengah - Ungaran,Ibu rumah tangga,Islam,1963,Jawa,Indonesia
,,,,,,,Bapak,"Jawa, Indonesia",Jawa,"Jawa, Indonesia",Jawa,Jawa,"Jawa, Indonesia",Jawa,SMA,#NAME?,Jawa Tengah - Ungaran,PNS,Islam,1959,Jawa,Indonesia
,,,,,,,Ibu dari ibu,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kota Surakarta, ,Wirausaha,Islam,,Jawa,Indonesia
,,,,,,,Bapak dari ibu,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,"Jawa, Indonesia",Jawa,,Jawa Tengah - Kota Surakarta,#NAME?,Pustakawan,Islam,,Jawa,Indonesia
,,,,,,,Ibu dari bapak,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, , ,,Islam,,Jawa,
,,,,,,,Bapak dari bapak,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,, , ,,Islam,,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UDINUS-Oktober-2014,RWRBDF,1982,Jawa Tengah - Kota Semarang,Perempuan,"Orangtua, kakak",6-12,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,"Jawa, Indonesia",Jawa,SMP,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,Ibu rumah tangga,Islam,1960,Jawa,Indonesia
,,,,,,,Bapak,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,Perguruan Tinggi S1,Jawa Tengah - Kota Semarang,Jawa Tengah - Kota Semarang,Guru,Islam,1954,Jawa,Indonesia
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SR,,Jawa Tengah - Kota Semarang,Pedagang,Islam,1920,Jawa,"Jawa, Indonesia"
,,,,,,,Bapak dari ibu,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,SR, ,Jawa Tengah - Kota Semarang,Karyawan PJKA,Islam,1920,Jawa,"Jawa, Indonesia"
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SR, ,Jawa Tengah - Kota Semarang,Pedagang,Islam,1920,Jawa,"Jawa, Indonesia"
,,,,,,,Bapak dari bapak,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,SR, ,Jawa Tengah - Kota Semarang,Tentara,Islam,1920,Jawa,"Jawa, Indonesia"
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UNDIP-September-2014,HEECCO,1984,Jawa Tengah - Kabupaten Semarang,Perempuan,Ortu,lebih dari 24,Ibu,"Jawa, Indonesia",Jawa,"Jawa, Indonesia","Jawa, Indonesia",Jawa,"Jawa, Indonesia",Jawa,S1,"Solo, Semarang",Jawa Tengah - Kabupaten Semarang,PNS,Islam,1954,Jawa,Indonesia
,,,,,,,Bapak,"Jawa, Indonesia",Jawa,"Jawa, Indonesia","Jawa, Indonesia",Jawa,"Jawa, Indonesia",Jawa,S2,"Yogyakarta, Semarang",Jawa Tengah - Kabupaten Semarang,PNS,Islam,1954,Jawa,Indonesia
,,,,,,,Ibu dari ibu,Jawa,Jawa,,,Jawa,Jawa,Jawa,,Jawa Tengah - Kota Surakarta,Jawa Tengah - Kabupaten Semarang,,Islam,,Jawa,
,,,,,,,Bapak dari ibu,Jawa,Jawa,,,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Jawa Tengah - Kabupaten Semarang,,Islam,,Jawa,
,,,,,,,Ibu dari bapak,Jawa,Jawa,,,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,,Islam,,Jawa,
,,,,,,,Bapak dari bapak,Jawa,Jawa,,,Jawa,Jawa,Jawa,,Daerah Istimewa Yogyakarta - Kota Yogyakarta,Daerah Istimewa Yogyakarta - Kota Yogyakarta,,Islam,,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UNDIP-September-2014,LNMICO,1989,Jawa Tengah - Kabupaten Semarang,Perempuan,Orang tua,6-12,Ibu,Indonesia,Jawa,,"Indonesia, Jawa","Indonesia, Jawa","Indonesia, Jawa",Jawa,SMP,Jawa Tengah - Kabupaten Semarang,Jawa Tengah - Kabupaten Semarang,Ibu rumah tangga,Kristen (Katolik),1961,Jawa,Indonesia
,,,,,,,Bapak,Indonesia,Jawa,Indonesia,"Indonesia, Jawa","Indonesia, Jawa","Indonesia, Jawa",Jawa,SPMA,Jawa Tengah - Kabupaten Semarang,Jawa Tengah - Kabupaten Semarang,Pegawai swasta,Kristen (Katolik),1960,Jawa,Indonesia
,,,,,,,Ibu dari ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,, Jawa,Jawa Tengah - Kota Semarang,Veteran,Kristen (Katolik),,Jawa,Indonesia
,,,,,,,Bapak dari ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,, Jawa,Jawa Tengah - Kabupaten Semarang,,Kristen (Katolik),,Jawa,Indonesia
,,,,,,,Ibu dari bapak,,"Jawa, Belanda",,,,,Belanda,, ,Jawa Tengah - Kabupaten Semarang,,Kristen (Katolik),,Jawa,
,,,,,,,Bapak dari bapak,,Jawa,,,,,Jawa,, Jawa,Jawa Tengah - Kabupaten Semarang,Veteran,Kristen (Katolik),,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UNDIP-September-2014,SDBODH,1989,Jawa Tengah - Kabupaten Purbalingga,Perempuan,Orangtua,3-5,Ibu,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,S1,Jawa Barat - Kabupaten Purwakarta,Jawa Tengah - Kabupaten Purbalingga,PNS,Islam,1964,Jawa,Indonesia
,,,,,,,Bapak,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,SMK,Jawa Tengah - Kabupaten Purbalingga,Jawa Tengah - Kabupaten Purbalingga,Pemborong,Islam,1956,Jawa,Indonesia
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UNDIP-September-2014,NANRNF,1990,Bali - Kabupaten Buleleng,Perempuan,Orangtua,1-2,Ibu,"Bali, Melayu",Bali,Bali,Bali,Melayu,"Bali, Melayu",Bali,SMA,Bali - Kota Denpasar,Bali - Kota Denpasar,Ibu rumah tangga,Islam,1956,Bali,Indonesia
,,,,,,,Bapak,Melayu,Melayu,Indonesia,Bali,Melayu,"Bali, Melayu",Melayu,S1,Bali - Kota Denpasar,Bali - Kota Denpasar,PNS,Islam,1952,Melayu,Indonesia
,,,,,,,Ibu dari ibu,Bali,Bali,Bali,Bali,Bali,Bali,Bali,,Bali - Kota Denpasar, Bali - Kota Denpasar,Ibu rumah tangga,Islam,1928,Bali,Indonesia
,,,,,,,Bapak dari ibu,Bali,Bali,Bali,Bali,Bali,Bali,Bali,,Bali - Kota Denpasar,Bali - Kota Denpasar,Petani,Islam,1924,Bali,Indonesia
,,,,,,,Ibu dari bapak,Melayu,Jawa,Melayu,Bali,Melayu,"Jawa, Melayu",Jawa,, Jawa,Bali - Kota Denpasar,IRT,Islam,1935,Jawa,Melayu
,,,,,,,Bapak dari bapak,Melayu,Melayu,Indonesia,Bali,Melayu,Melayu,Malaysia,,di luar Indonesia - Malaysia,Bali - Kota Denpasar,Pegawai KUA,Islam,1930,Melayu,Melayu
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,"Bali, Jawa"
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UNDIP-September-2014,BPGGZA,1989,Jawa Timur - Kabupaten Jombang,Perempuan,Orangtua,0,Ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Jombang,Jawa Timur - Kabupaten Jombang,Ibu rumah tangga,Islam,19,Jawa dialek Jombang,Jawa
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Jombang,Jawa Timur - Kabupaten Jombang,Petani,Islam,,Jawa dialek Jombang,
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Jombang,Jawa Timur - Kabupaten Jombang,Ibu rumah tangga,Islam,,Jawa,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UNDIP-September-2014,MHZJSX,1990,Jawa Timur - Kota Mojokerto,Perempuan,Orangtua,3-5,Ibu,"Jawa, Mojokerto,  Suroboyo",Jawa Tegal napak,Swasta PT. Tjiwi Kimia,Jawa,Jawa krama Madya,Jawa,"Jawa, Mojokerto",SMP,#NAME?,Jawa Timur - Kabupaten Mojokerto,Swasta,Islam,,"Jawa, Mojokerto, Suroboyan","Jawa, Malangan"
,,,,,,,Bapak,"Jawa, Mojokerto, Suroboyan",Jawa dialek Mojokerto Surabaya,Swasta PT Mertexx,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Swasta,Islam,,Jawa dialek Mojokerto Surabaya,Jawa dialek Mojokerto Surabaya
,,,,,,,Ibu dari ibu,Jawa Malang,Jawa Jember,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Jember,Jawa Timur - Kabupaten Malang,Petani,Islam,,Jawa Jember,Jawa Tegal
,,,,,,,Bapak dari ibu,,Jawa kediri,,,,,Jawa,," Kediri, Malang, Cilacap",Jawa Timur - Kabupaten Malang,Petani,Islam,,Jawa Jember,Jawa Tegal
,,,,,,,Ibu dari bapak,Jawa,Jawa Mojokerto,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,,Islam,,Jawa kediri,Jawa Malang
,,,,,,,Bapak dari bapak,,,,,,,Jawa,,Jawa Timur - Kabupaten Mojokerto, ,PNS,Islam,,Jawa kediri,Jawa
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,Jawa Mojokerto,Jawa
,,,,,,,Anak Anda,,,,,,,,, , ,,,,Jawa Mojokerto,
Semarang-UNDIP-September-2014,OLJTWW,1991,Jawa Timur - Kabupaten Mojokerto,Perempuan,Orangtua,lebih dari 24,Ibu,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Ibu rumah tangga,Islam,1972,Jawa dialek Mojokerto-Surabaya,Indonesia
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,"Kepala dusun, Wiraswasta",Islam,1965,Jawa dialek Mojokerto-Surabaya,Indonesia
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD/MI,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Petani,Islam,1952,Jawa dialek Mojokerto-Surabaya,Indonesia
,,,,,,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD/MI,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Petani,Islam,1948,Jawa dialek Mojokerto-Surabaya,Indonesia
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD/MI,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Penjahit,Islam,1948,Jawa dialek Mojokerto-Surabaya,Indonesia
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD/MI,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,Petani,Islam,1942,Jawa dialek Mojokerto-Surabaya,Indonesia
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UNDIP-September-2014,XMERKP,1990,Jawa Tengah - Kabupaten Semarang,Perempuan,Orangtua,3-5,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Cilacap, Jawa Tengah - Kabupaten Cilacap,Petani,Islam,1974,Jawa dialek Banyumas,Sunda
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Cilacap,Jawa Tengah - Kabupaten Cilacap,Pedagang,Islam,1966,Jawa dialek Banyumas,Jawa
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Cilacap,Jawa Tengah - Kabupaten Cilacap,Petani,Islam,,Jawa dialek Banyumas,Jawa
,,,,,,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Cilacap,Jawa Tengah - Kabupaten Cilacap,Petani,Islam,,Jawa dialek Banyumas,Jawa
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Cilacap,Jawa Tengah - Kabupaten Cilacap,Petani,Islam,,Jawa dialek Banyumas,Sunda
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Cilacap,Jawa Tengah - Kabupaten Cilacap,Petani,Islam,,Jawa dialek Banyumas,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UNDIP-September-2014,BHUQBI,1988,Jawa Tengah - Kabupaten Brebes,Laki,Orangtua,lebih dari 24,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,"Indonesia, Jawa",Indonesia,SMA,Jawa Tengah - Kabupaten Brebes,Jawa Tengah - Kabupaten Brebes,Pedagang,Islam,1970,Jawa,Indonesia
,,,,,,,Bapak,Jawa,Jawa,Jawa,"Indonesia, Jawa",Jawa,"Indonesia, Jawa",Indonesia,SMP (tidak tamat),Jawa Tengah - Kabupaten Brebes,Jawa Tengah - Kabupaten Brebes,Wiraswasta/ sopir,Islam,1970,Jawa,Indonesia
,,,,,,,Ibu dari ibu,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,SR,Jawa Tengah - Kabupaten Brebes,Jawa Tengah - Kabupaten Brebes,Pedagang,Islam,1973,Jawa,Indonesia
,,,,,,,Bapak dari ibu,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,SR,Jawa Tengah - Kabupaten Brebes,Jawa Tengah - Kabupaten Brebes,Pedagang,Islam,1973,Jawa,Indonesia
,,,,,,,Ibu dari bapak,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,SR,Jawa Tengah - Kabupaten Brebes,Jawa Tengah - Kabupaten Brebes,Pedagang,Islam,1973,Jawa,Indonesia
,,,,,,,Bapak dari bapak,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,SR,Jawa Tengah - Kabupaten Brebes,Jawa Tengah - Kabupaten Brebes,Pedagang,Islam,1973,Jawa,Indonesia
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UNDIP-September-2014,WAMPWA,1987,Jawa Tengah - Kabupaten Brebes,Laki,Orangtua,lebih dari 24,Ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Brebes,Jawa Tengah - Kabupaten Brebes,Petani,Islam,1975,Jawa,Indonesia
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Brebes,Jawa Tengah - Kabupaten Brebes,Petani,Islam,1968,Jawa,Indonesia
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Brebes, ,Petani,Islam,1940,Jawa,
,,,,,,,Bapak dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Brebes, ,Petani,Islam,1950,Jawa,
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Brebes, ,Petani,Islam,1950,Jawa,
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Brebes, ,Petani,Islam,1940,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UNDIP-September-2014,SKAXVZ,1983,Jawa Tengah - Kabupaten Tegal,Laki,Orangtua,lebih dari 24,Ibu,Tegal,Tegal,,Tegal,Tegal,Tegal,Jawa,SMEA,Jawa Tengah - Kabupaten Tegal,Jawa Tengah - Kabupaten Tegal,Ibu rumah tangga,Islam,1961,Tegal,Indonesia
,,,,,,,Bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SGD,Jawa Tengah - Kabupaten Magelang,Jawa Tengah - Kabupaten Tegal,Polri,Islam,1954,Jawa,Indonesia
,,,,,,,Ibu dari ibu,Tegal,Tegal,,Tegal,Tegal,Tegal,Jawa,,Jawa Tengah - Kabupaten Jepara,Jawa Tengah - Kabupaten Tegal,,Islam,,Tegal,Tegal
,,,,,,,Bapak dari ibu,Tegal,Tegal,,Tegal,Tegal,Tegal,Jawa,,Jawa Tengah - Kabupaten Tegal,Jawa Tengah - Kabupaten Tegal,,Islam,,Tegal,Tegal
,,,,,,,Ibu dari bapak,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Magelang,Jawa Tengah - Kabupaten Magelang,,Islam,,Jawa,Jawa
,,,,,,,Bapak dari bapak,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Magelang,Jawa Tengah - Kabupaten Magelang,,Islam,,Jawa,Jawa
,,,,,,,Istri/Suami,Tegal,Tegal,,Jawa,Jawa,Jawa,Jawa,Sarjana,Jawa Tengah - Kabupaten Tegal,Jawa Tengah - Kabupaten Tegal,Swasta,Islam,1984,Tegal,Indonesia
,,,,,,,Anak Anda,Indonesia,Indonesia,,Indonesia,Indonesia,Indonesia,Jawa,TK,Jawa Tengah - Kabupaten Tegal, Jawa Tengah - Kabupaten Tegal,,Islam,2007,Indonesia,Tegal
Semarang-UNDIP-September-2014,ZKLCHY,1987,Jawa Tengah - Kabupaten Semarang,Perempuan,Orangtua,1-2,Ibu,"Jawa, Indonesia",Jawa,"Jawa, Indonesia","Jawa, Indonesia",Jawa,"Jawa, Indonesia",Jawa,D II,Jawa Tengah - Kabupaten Semarang,Jawa Tengah - Kabupaten Semarang,Guru SD,Islam,1950,Jawa,
,,,,,,,Bapak,"Jawa, Indonesia",Jawa,"Jawa, Indonesia","Jawa, Indonesia",Jawa,"Jawa, Indonesia",Jawa,SMK,Jawa Tengah - Kabupaten Semarang,Jawa Tengah - Kabupaten Semarang,Pegawai BUMN,Islam,1944,Jawa,
,,,,,,,Ibu dari ibu,"Jawa, Indonesia","Jawa, Indonesia",Indonesia,Jawa,Jawa,Jawa,Jawa,SMP,Purworejo - Jakarta,Jawa Tengah - Kabupaten Semarang,Guru,Islam,1920,Jawa,
,,,,,,,Bapak dari ibu,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,SMP,Madiun - Semarang,Jawa Tengah - Kabupaten Semarang,Tentara,Islam,1920,Jawa,
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Tidak diketahui,Jawa Tengah - Kabupaten Wonogiri,Jawa Tengah - Kabupaten Wonogiri,Ibu rumah tangga,Tidak diketahui,1900,Jawa,
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Tidak diketahui,Jawa Tengah - Kabupaten Wonogiri,Jawa Tengah - Kabupaten Wonogiri,Petani Perangkat Desa,Tidak diketahui,1890,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UNDIP-September-2014,SQLWOZ,1990,Jawa Tengah - Kabupaten Rembang,Perempuan,"Ibu, nenek, kakek, adik",lebih dari 24,Ibu,"Indonesia, Jawa",Jawa,Jawa,Jawa,"Indonesia, Jawa",Jawa,Jawa,D3,Jawa Tengah - Kabupaten Rembang,Jawa Tengah - Kabupaten Rembang,Wirausaha,Islam,1965,Jawa dialek Rembang,Jawa dialek Rembang
,,,,,,,Bapak,Indonesia,Betawi,Indonesia,Indonesia,"Indonesia, Jawa",Indonesia,Jawa,S1,DKI Jakarta - Jakarta,Kalimantan Selatan - Kota Banjarmasin,,Islam,1963,Betawi,"Indonesia, Jawa"
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,Betawi,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UNDIP-September-2014,PMYSUL,1992,Nusa Tenggara Barat - Kota Praya,Perempuan,Orangtua,3-5,Ibu,Sasak,Sasak,Indonesia,"Sasak, Indonesia",Sasak,"Sasak, Indonesia",Sasak,S1,Nusa Tenggara Barat - Kota Praya, Nusa Tenggara Barat - Kota Praya,Pengawas SDN,Islam,1967,Sasak/ Dialek Praya,Dialek Pagutan
,,,,,,,Bapak,Sasak,Sasak,Indonesia,"Sasak, Indonesia",Sasak,"Sasak, Indonesia",Sasak,SMEA,Nusa Tenggara Barat - Kota Pagutan,Nusa Tenggara Barat - Kota Praya,Guru/ PNS,Islam,1964,Sasak/ Dialek Pagutan,Dialek Praya
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,Dialek Praya
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari bapak,,,,,,,,, , ,,,,,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UNDIP-September-2014,WGVSFD,1990,Jawa Tengah - Kabupaten Purworejo,Perempuan,"Orangtua, adik",1-2,Ibu,Jawa,Jawa,"Indonesia, Jawa",Jawa,Jawa,Jawa,Jawa,S2,Jawa Tengah - Kabupaten Purworejo,Jawa Tengah - Kabupaten Purworejo,PNS,Islam,1950,Jawa,Indonesia
,,,,,,,Bapak,Jawa,Jawa,"Indonesia, Jawa",Jawa,Jawa,Jawa,Jawa,S2,Jawa Tengah - Kabupaten Blora,Jawa Tengah - Kabupaten Purworejo,PNS,Islam,1950,Jawa,Indonesia
,,,,,,,Ibu dari ibu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Gak tau,Jawa Tengah - Kabupaten Purworejo, Udah meninggal semua,Ibu rumah tangga,Islam,1920,Jawa,
,,,,,,,Bapak dari ibu,Jawa,Jawa,"Indonesia, Jawa",Jawa,Jawa,Jawa,Jawa,Gak tau,Jawa Tengah - Kabupaten Purworejo, Udah meninggal semua,TNI,Islam,1920,Jawa,
,,,,,,,Ibu dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Gak tau,Jawa Tengah - Kabupaten Blora, Udah meninggal semua,Ibu rumah tangga,Islam,1920,Jawa,
,,,,,,,Bapak dari bapak,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Gak tau,Jawa Tengah - Kabupaten Blora, Udah meninggal semua,Perangkat desa,Islam,1920,Jawa,
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UNDIP-September-2014,CCBHLM,1992,Kalimantan Utara - Kota Tarakan,Perempuan,Orangtua,1-2,Ibu,Indonesia,Jawa,Indonesia,Indonesia,Indonesia,Jawa,Jawa,SMA,Jawa Timur - Kota Blitar,Kalimantan Utara - Kota Tarakan,IRT,Islam,1970,Jawa,Indonesia
,,,,,,,Bapak,Indonesia,Banjar,Indonesia,Indonesia,Indonesia,Indonesia,Banjar,D III,#NAME?,Kalimantan Utara - Kota Tarakan,PNS (guru),Islam,1950,Indonesia,Indonesia
,,,,,,,Ibu dari ibu,,Jawa,,,,,Jawa,,Jawa Timur - Kota Blitar, ,,Islam,,Jawa,Indonesia
,,,,,,,Bapak dari ibu,,Jawa,,,,,Jawa,,Jawa Timur - Kota Blitar, ,,Islam,,Jawa,Indonesia
,,,,,,,Ibu dari bapak,,,,,,,Banjar,,Kalimantan Selatan - Kota Banjarmasin, ,,Islam,,Banjar,Indonesia
,,,,,,,Bapak dari bapak,,,,,,,Banjar,,Kalimantan Selatan - Kota Banjarmasin, ,,Islam,,Banjar,Indonesia
,,,,,,,Istri/Suami,,,,,,,,, , ,,,,,
,,,,,,,Anak Anda,,,,,,,,, , ,,,,,
Semarang-UNDIP-September-2014,FCJHTD,1989,Jawa Tengah - Kabupaten Pati,Laki,Orangtua,1-2,Ibu,,,,,,,,, ,Jawa Tengah - Kabupaten Pati,,,,,
,,,,,,,Bapak,,,,,,,,, ,Jawa Tengah - Kabupaten Pati,,,,,
,,,,,,,Ibu dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Bapak dari ibu,,,,,,,,, , ,,,,,
,,,,,,,Ibu dari bapak,,,,,,,,, , ,,,,,
