session,birth_year,home_location,sex,caretaker,visit_frequency,ibu_curr_home_lang,ibu_past_home_lang,ibu_work_lang,ibu_neighbor_lang,ibu_partner_lang,ibu_family_lang,ibu_ethnicity,ibu_education,ibu_past_home,ibu_curr_home,ibu_profession,ibu_religion,ibu_birth_year,ibu_first_lang,ibu_other_langs,bapak_curr_home_lang,bapak_past_home_lang,bapak_work_lang,bapak_neighbor_lang,bapak_partner_lang,bapak_family_lang,bapak_ethnicity,bapak_education,bapak_past_home,bapak_curr_home,bapak_profession,bapak_religion,bapak_birth_year,bapak_first_lang,bapak_other_langs,ibu_dari_ibu_curr_home_lang,ibu_dari_ibu_past_home_lang,ibu_dari_ibu_work_lang,ibu_dari_ibu_neighbor_lang,ibu_dari_ibu_partner_lang,ibu_dari_ibu_family_lang,ibu_dari_ibu_ethnicity,ibu_dari_ibu_education,ibu_dari_ibu_past_home,ibu_dari_ibu_curr_home,ibu_dari_ibu_profession,ibu_dari_ibu_religion,ibu_dari_ibu_birth_year,ibu_dari_ibu_first_lang,ibu_dari_ibu_other_langs,bapak_dari_ibu_curr_home_lang,bapak_dari_ibu_past_home_lang,bapak_dari_ibu_work_lang,bapak_dari_ibu_neighbor_lang,bapak_dari_ibu_partner_lang,bapak_dari_ibu_family_lang,bapak_dari_ibu_ethnicity,bapak_dari_ibu_education,bapak_dari_ibu_past_home,bapak_dari_ibu_curr_home,bapak_dari_ibu_profession,bapak_dari_ibu_religion,bapak_dari_ibu_birth_year,bapak_dari_ibu_first_lang,bapak_dari_ibu_other_langs,ibu_dari_bapak_curr_home_lang,ibu_dari_bapak_past_home_lang,ibu_dari_bapak_work_lang,ibu_dari_bapak_neighbor_lang,ibu_dari_bapak_partner_lang,ibu_dari_bapak_family_lang,ibu_dari_bapak_ethnicity,ibu_dari_bapak_education,ibu_dari_bapak_past_home,ibu_dari_bapak_curr_home,ibu_dari_bapak_profession,ibu_dari_bapak_religion,ibu_dari_bapak_birth_year,ibu_dari_bapak_first_lang,ibu_dari_bapak_other_langs,bapak_dari_bapak_curr_home_lang,bapak_dari_bapak_past_home_lang,bapak_dari_bapak_work_lang,bapak_dari_bapak_neighbor_lang,bapak_dari_bapak_partner_lang,bapak_dari_bapak_family_lang,bapak_dari_bapak_ethnicity,bapak_dari_bapak_education,bapak_dari_bapak_past_home,bapak_dari_bapak_curr_home,bapak_dari_bapak_profession,bapak_dari_bapak_religion,bapak_dari_bapak_birth_year,bapak_dari_bapak_first_lang,bapak_dari_bapak_other_langs
CNZIFE,1979,Jawa Tengah - Kabupaten Semarang,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Tengah - Kabupaten Kudus,Jawa Tengah - Kabupaten Semarang,,Islam,1950,Jawa,Indonesia,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,Perawat,Jawa Tengah - Kabupaten Ambarawa,Jawa Tengah - Kabupaten Semarang,Perawat,Islam,1940,Jawa,Indonesia,,,,,,,Jawa,, , ,Dagang,Islam,,Jawa,,,,,,,,Jawa,, , ,PNS,Islam,,Jawa,,,,,,,,Jawa,, , ,,Islam,,Jawa,,,,,,,,Jawa,, , ,,Islam,,Jawa,
MIKHHF,1990,Jawa Tengah - Kabupaten Pekalongan,Perempuan,Keluarga,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Tengah - Kabupaten Pekalongan,Jawa Tengah - Kabupaten Pekalongan,Guru,Islam,1964,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,S1,Jawa Tengah - Kabupaten Pekalongan,Jawa Tengah - Kota Pekalongan,Guru,Islam,1959,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Pekalongan,Jawa Tengah - Kabupaten Pekalongan,,Islam,,Jawa,,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Pekalongan,Jawa Tengah - Kabupaten Pekalongan,Guru,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Pekalongan,Jawa Tengah - Kabupaten Pekalongan,,Islam,,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Tengah - Kabupaten Pekalongan,Jawa Tengah - Kabupaten Pekalongan,Lebe,Islam,,Jawa,
EGKQEG,1989,Jawa Timur - Kabupaten Lamongan,Perempuan,Orangtua,6-12,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa,SD,Jawa Timur - Kabupaten Lamongan, Jawa Timur - Kabupaten Lamongan,Penjahit,Islam,1965,Jawa Timuran,,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,Jawa,SMP,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Supir,Islam,1955,Jawa Timuran,,Jawa Ngoko,Jawa Ngoko,Jawa Ngoko,"Jawa Krama, Jawa Ngoko",Jawa Ngoko,"Jawa Krama, Jawa Ngoko",Jawa,SR,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Petani,Islam,1930,Jawa Timuran,,Jawa Ngoko,Jawa Ngoko,Jawa Krama,"Jawa Krama, Jawa Ngoko",Jawa Ngoko,"Jawa Krama, Jawa Ngoko",Jawa,SR,Jawa Timur - Kabupaten Lamongan, ,Perangkat desa,Islam,1930,Jawa Timuran,,Jawa Ngoko,Jawa Ngoko,Jawa Krama,"Jawa Krama, Jawa Ngoko",Jawa Ngoko,"Jawa Krama, Jawa Ngoko",Jawa,Tidak sekolah,Jawa Timur - Kabupaten Lamongan, ,Pedagang,Islam,1930,Jawa Timuran,,Jawa Ngoko,Jawa Ngoko,Jawa Krama,"Jawa Krama, Jawa Ngoko",Jawa Ngoko,Jawa Ngoko,Jawa,Tidak sekolah,Jawa Timur - Kabupaten Lamongan, ,Pedagang,Islam,1930,Jawa Timuran,
PMBVYE,1991,Jawa Barat - Kabupaten Cirebon,Perempuan,Keluarga,lebih dari 24,"Indonesia, Sunda",Sunda,"Indonesia, Sunda, Inggris",Sunda,"Indonesia, Sunda",Sunda,Sunda,S1,#NAME?,Jawa Barat - Kabupaten Cirebon,PNS,Islam,1964,Sunda Kuningan,Sunda Cirebon semi Jawa,"Indonesia, Sunda",Sunda,"Indonesia, Sunda",Sunda,"Indonesia, Sunda",Sunda,Sunda,S2,Jawa Barat - Kabupaten Cirebon,Jawa Barat - Kabupaten Cirebon,PNS,Islam,1963,Sunda Cirebon semi Jawa,Sunda Kuningan,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,SMA,#NAME?,#NAME?,IRT,Islam,1940,Sunda Kuningan,Sunda Kuningan,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,SMA,#NAME?, ,PNS,Islam,1930,Sunda Kuningan,,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,SMA,Jawa Barat - Kabupaten Cirebon, ,IRT,Islam,1940,Sunda Cirebon,,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,Sunda,SMA,Jawa Barat - Kabupaten Cirebon, ,PNS,Islam,1930,Sunda Cirebon,
NRANVH,1992,Jawa Timur - Kabupaten Nganjuk,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,Arab,Jawa,Jawa,"Jawa, Indonesia",Jawa,SMP,Jawa Timur - Kabupaten Nganjuk,di luar Indonesia - Saudi Arabia,TKW,Islam,1965,Jawa,Arab,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,S1,Jawa Timur - Kota Madiun,Jawa Timur - Kabupaten Nganjuk,Guru,Islam,1960,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Nganjuk,Jawa Timur - Kabupaten Nganjuk,Pedagang,Islam,1949,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Nganjuk,Jawa Timur - Kabupaten Nganjuk,Pedagang,Islam,1946,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Madiun,Jawa Timur - Kabupaten Madiun,,Islam,1947,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Madiun,Jawa Timur - Kabupaten Madiun,Pedagang,Islam,1944,Jawa,
XZHXRO,1992,Jawa Tengah - Kabupaten Brebes,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,"Jawa, Indonesia",Jawa,SMEA,Jawa Tengah,Jawa Tengah,Wiraswasta,Islam,1971,Jawa,Indonesia,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,"Jawa, Indonesia",Jawa,STM,Jawa Tengah,Jawa Tengah,Wiraswasta,Islam,1968,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah,Jawa Tengah,Pedagang,Islam,1950,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah,Jawa Tengah,Pedagang,Islam,1950,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah,Jawa Tengah,Pedagang,Islam,1930,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah,Jawa Tengah,Pedagang,Islam,1930,Jawa,
JPHIZY,1987,Jawa Timur - Kabupaten Lumajang,Perempuan,Orangtua,3-5,Jawa,Jawa,"Jawa, Indonesia",Jawa Ngoko,Jawa Ngoko,"Jawa Krama, Ngoko",Jawa,Sarjana S1,Jawa Timur - Kabupaten Lumajang,Jawa Timur - Kabupaten Lumajang,Guru PNS,Islam,1961,Jawa,Madura,"Jawa, Indonesia",Bima (NTB),Indonesia,Indonesia,Jawa Ngoko,Indonesia,Bima (NTB),Magister S2,"Nusa Tenggara Barat - Reo Flores, Bima",Jawa Timur - Kabupaten Lumajang,"Guru (PNS), Dosen",Islam,1959,Bima (NTB),Jawa,"Jawa, Madura",Jawa,"Jawa, Madura","Jawa, Madura",Madura,"Jawa, Madura",Jawa,SR,Jawa Timur - Kabupaten Lumajang,Jawa Timur - Kabupaten Lumajang,Pedagang,Islam,,Bima (NTB),Madura,"Jawa, Madura",Madura,Indonesia,"Jawa, Madura",Madura,"Jawa, Madura",Madura,SR,Jawa Timur - Kabupaten Lumajang,Jawa Timur - Kabupaten Lumajang,Perhutani,Islam,,Jawa,Jawa,Bima (NTB),Bima (NTB),Bima (NTB),Bima (NTB),Bima (NTB),"Bima, Indonesia",Bima (NTB),SR,Nusa Tenggara Timur - Reo Flores,Nusa Tenggara Timur - Reo Flores,Tani,Islam,,Madura,Indonesia,Bima (NTB),Bima (NTB),Bima (NTB),Bima (NTB),Bima (NTB),"Bima, Indonesia",Bima (NTB),SR,Nusa Tenggara Timur - Reo Flores,Nusa Tenggara Timur - Reo Flores,Tani,Islam,,Bima (NTB),Indonesia
TMHSDU,1994,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,12-24,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Blitar,Jawa Timur - Kabupaten Tuban,,Islam,1960,"Jawa, Indonesia",,Jawa,Jawa,Indonesia,Indonesia,Jawa,Jawa,Jawa,Sarjana,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,1965,"Jawa, Indonesia",,,,,,,,Jawa,,Jawa Timur - Kabupaten Blitar,Jawa Timur - Kabupaten Blitar ,,Islam,,Jawa,,,,,,,,Jawa,,Jawa Timur - Kabupaten Blitar,Jawa Timur - Kabupaten Blitar,,Islam,,Jawa,,,,,,,,Jawa,,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,,Jawa,,,,,,,,Jawa,,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Manager,Islam,,Jawa,
MEQXSG,1994,Jawa Timur - Kabupaten Tuban,Laki,Orangtua,lebih dari 24,,,,,,,Jawa,SMA,Jawa Timur - Kabupaten Tuban, ,Ibu rumah tangga,Islam,1971,Jawa Inggil,Jawa Ngoko,,,,,,,Jawa,SMA,Jawa Timur - Kabupaten Tuban, ,Wiraswasta,Islam,1965,,,,,,,,,Jawa,,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Wiraswasta,Islam,1920,,,,,,,,,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,,Islam,,,,,,,,,,Jawa,, , ,,Islam,,,,,,,,,,Jawa,, , ,,Islam,,,
WTQKGU,1993,Jawa Timur - Kabupaten Tuban,Laki,Orangtua,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Petani,Islam,1960,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,TKI,Islam,1960,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,,Jawa,Jawa
WVNKOI,1995,Jawa Timur - Kabupaten Lamongan,Perempuan,Keluarga,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,SD,Jawa Timur - Kabupaten Lamongan,#NAME?,,Islam,1955,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,SD,Jawa Timur - Kabupaten Lamongan,#NAME?,,Islam,1960,Jawa,,Jawa,Jawa,,Jawa,Jawa,Jawa,,SR,Jawa Timur - Kabupaten Lamongan,#NAME?,,Islam,1935,Jawa,,Jawa,Jawa,,Jawa,Jawa,Jawa,,SR,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Tuban,,Islam,1931,Jawa,,Jawa,Jawa,,Jawa,Jawa,Jawa,,SR,Jawa Timur - Kabupaten Lamongan,#NAME?,,Islam,1930,,,Jawa,Jawa,,Jawa,Jawa,Jawa,,SR,Jawa Timur - Kabupaten Lamongan,#NAME?,,Islam,1925,,
EBLUCX,1992,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,1962,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,1960,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,1932,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,,1930,Jawa,Jawa,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
IPLCQQ,1995,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Ibu rumah tangga,Islam,1975,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Petani,Islam,1974,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD, , ,,Islam,,Jawa,Jawa,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
BMFRMG,1993,Jawa Timur - Kabupaten Lamongan,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Lamongan, Jawa Timur - Kabupaten Lamongan,Wiraswasta,Islam,,Jawa,"Indonesia, Melayu",Jawa,Jawa,Jawa,Jawa,"Jawa, Indonesia",Jawa,Jawa,SD,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Wiraswasta,Islam,,Jawa,"Indonesia, Melayu",Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Wiraswasta,Islam,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Wiraswasta,Islam,,Jawa,Melayu Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Wiraswasta,Islam,,Jawa,Melayu Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Wiraswasta,Islam,,Jawa,Jawa
CSVUXG,1993,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,3-5,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,SMA/ Sederajat,Jawa Timur - Kabupaten Tuban, Jawa Timur - Kabupaten Tuban,Swasta,Islam,1965,Jawa,Indonesia,Jawa,Jawa,Indonesia,Jawa,Indonesia,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Tuban, Jawa Timur - Kabupaten Tuban,Swasta,Islam,1960,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur - Kabupaten Tuban,#NAME?,Swasta,Islam,1941,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,#NAME?,Swasta,Islam,1939,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Swasta,Islam,1940,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Swasta,Islam,1935,Jawa,Indonesia
HSOLGS,1995,"Jawa Timur - Merakurak, Tuban",Perempuan,Orangtua,12-24,,Jawa,,Jawa,,Jawa,Jawa,SD,"Jawa Timur - Merakurak, Tuban","Jawa Timur - Merakurak, Tuban",,Islam,1974,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,"Jawa Timur - Merakurak, Tuban","Jawa Timur - Merakurak, Tuban",Swasta,Islam,1970,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,1957,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,1947,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,1955,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,1945,Jawa,
QLACPQ,1995,Jawa Timur - Kabupaten Tuban,Perempuan,"Nenek, Keluarga",6-12,Jawa Kromo,Jawa Kromo,Indonesia,,Jawa Kromo,Jawa,Jawa,S1,Jawa Timur - Kabupaten Tuban,"Jawa Timur - Tuban, Bangilan",Guru,Islam,1973,Jawa,Indonesia,,,,,,,,, , ,,,,Jawa Kromo,Indonesia,,,,,,,,,"Jawa Timur - Tuban, Tambakboyo","Jawa Timur - Tuban, Tambakboyo",,Islam,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
IRECHI,1992,Jawa Tengah - Kabupaten Rembang,Perempuan,,6-12,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,#NAME?, ,,Islam,1973,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,#NAME?, ,,Islam,1965,Jawa,Indonesia,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,,,,,,,,,, , ,,,,,
XBNRKQ,1992,Jawa Timur - Kabupaten Lamongan,Perempuan,Orangtua,lebih dari 24,Jawa,Melayu,Jawa,Jawa,Jawa,Jawa,Kalimantan Barat,SMA,Kalimantan Barat,"Jawa Timur - Sedayulawas, Brondong",Ibu rumah tangga,Islam,1978,Melayu,Melayu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa Timur,SMA,Jawa Timur - Sedayulawas,"Jawa Timur - Sedayulawas, Brondong",Wiraswasta,Islam,1975,Jawa,Jawa,Melayu,Melayu,Melayu,Melayu,Melayu,Melayu,Melayu,SD,Kalimantan Barat,Kalimantan Barat,Ibu rumah tangga,Islam,,Melayu,Melayu,Melayu,Melayu,Melayu,Melayu,Melayu,Melayu,Melayu,SD,Kalimantan Barat,Kalimantan Barat,Pedagang,Islam,,Melayu,Melayu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Sedayulawas,Jawa Timur - Sedayulawas,Pedagang,Islam,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Sedayulawas,Jawa Timur - Sedayulawas,Pedagang,Islam,,Jawa,Jawa
CLSPGN,1993,Jawa Tengah - Kabupaten Rembang,Perempuan,Orangtua,6-12,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Tengah - Kabupaten Blora,Jawa Tengah - Kabupaten Rembang,Ibu rumah tangga,Islam,1978,Jawa,Indonesia,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,S1,Jawa Tengah - Kabupaten Blora,Jawa Tengah - Kabupaten Rembang,PNS,Islam,1975,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Blora,Jawa Tengah - Kabupaten Blora,Wiraswasta,Islam,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Blora,Jawa Tengah - Kabupaten Blora,Tani,Islam,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Blora,Jawa Tengah - Kabupaten Blora,Tani,Islam,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Tengah - Kabupaten Blora,Jawa Tengah - Kabupaten Blora,Tani,Islam,,Jawa,Jawa
OWFMCI,1994,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,lebih dari 24,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,SMP,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Ibu rumah tangga,Islam,1976,Jawa,Indonesia,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,SMA,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Wiraswasta,Islam,1974,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Meraurak,Jawa Timur - Meraurak,Ibu rumah tangga,Islam,1930,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Meraurak,Jawa Timur - Meraurak,Wiraswasta,Islam,1929,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Meraurak,Jawa Timur - Meraurak,Ibu rumah tangga,Islam,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,SD,Jawa Timur - Meraurak,Jawa Timur - Meraurak,Wiraswasta,Islam,,Jawa,Jawa
VWFTPO,1993,Jawa Timur - Kabupaten Tuban,Perempuan,Orangtua,3-5,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,S1,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Guru,Islam,1965,Jawa,Indonesia,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,SMK,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Tuban,TNI,Islam,1961,Jawa,Indonesia,Jawa,Jawa,,Jawa,Jawa,Jawa,Jawa,Taman Siswa,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,,Islam,1942,Jawa,Jawa,Jawa,Jawa,Indonesia,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Tuban,Jawa Timur - Kabupaten Tuban,Penilik,Islam,1933,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kabupaten Mojokerto,,Islam,1945,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Mojokerto,Jawa Timur - Kota Mojokerto,,Islam,1930,Jawa,Jawa
JPITTU,1993,Jawa Timur - Kabupaten Lamongan,Perempuan,Nenek,lebih dari 24,Jawa,Jawa,,"Jawa, Melayu",Jawa,Jawa,Jawa,SD,di luar Indonesia - Malaysia,di luar Indonesia - Malaysia,Wiraswasta,Islam,1970,Jawa,Melayu,Jawa,Jawa,,"Jawa, Melayu",Jawa,Jawa,Jawa,SD,di luar Indonesia - Malaysia,di luar Indonesia - Malaysia,Wiraswasta,Islam,1968,Jawa,Melayu,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Penjual ikan,Islam,1925,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Lamongan,Jawa Timur - Kabupaten Lamongan,Nelayan,Islam,1920,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Petani,Islam,1935,Jawa,,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,Jawa,,Jawa Timur - Kabupaten Gresik,Jawa Timur - Kabupaten Gresik,Petani,Islam,1930,Jawa,
